year,country_name,country_code,GPCP,RainfallGrowth,LaggedRainfallGrowth,war_prio,InternalConflict,pop,lpopl1,Mountains,lmtnest,Oil,EthnicFrac,ReligiousFrac,Democracy,GDPGrowth,LaggedGDPGrowth,InitialGDP,polity2l_6,LaggedInternalConflict
1998,Benin,BEN,1120.1300048828125,0.12649817764759064,-0.029917802661657333,0,0,5967.89990234375,8.664938926696777,0,0,0,0.6181775331497192,0.4649999737739563,6,0.01681591011583805,0.02861304022371769,1.055999994277954,1,0
1999,Benin,BEN,1076.598876953125,-0.03886256739497185,0.12649817764759064,0,0,NA,8.6941499710083,0,0,0,0.6181775331497192,0.4649999737739563,6,0.020730998367071152,0.01681591011583805,1.055999994277954,1,0
1981,Mauritania,MRT,185.95774841308594,0.07934360951185226,-0.07132702320814133,0,0,1586,7.346655368804932,0,0,0,0.3354172706604004,0,-7,0.0033898542169481516,-0.04940924048423767,0.9309999942779541,0,NA
1982,Mauritania,MRT,127.26737213134766,-0.3156113624572754,0.07934360951185226,0,0,1620,7.3689703941345215,0,0,0,0.3354172706604004,0,-7,-0.0033784019760787487,0.0033898542169481516,0.9309999942779541,0,0
1983,Mauritania,MRT,116.38059997558594,-0.08554252237081528,-0.3156113624572754,0,0,1654,7.390181541442871,0,0,0,0.3354172706604004,0,-7,0.06101697310805321,-0.0033784019760787487,0.9309999942779541,0,0
1984,Mauritania,MRT,130.0446014404297,0.1174078956246376,-0.08554252237081528,0,0,1690,7.410952091217041,0,0,0,0.3354172706604004,0,-7,-0.09797658026218414,0.06101697310805321,0.9309999942779541,0,0
1985,Mauritania,MRT,145.92913818359375,0.122146837413311,0.1174078956246376,0,0,1729,7.432483673095703,0,0,0,0.3354172706604004,0,-7,-0.02715466544032097,-0.09797658026218414,0.9309999942779541,0,0
1986,Mauritania,MRT,147.0176239013672,0.007459002081304789,0.122146837413311,0,0,1771,7.45529842376709,0,0,0,0.3354172706604004,0,-7,0.018203865736722946,-0.02715466544032097,0.9309999942779541,0,0
1987,Mauritania,MRT,119.3144302368164,-0.18843451142311096,0.007459002081304789,0,0,1816,7.479299545288086,0,0,0,0.3354172706604004,0,-7,-0.03575681895017624,0.018203865736722946,0.9309999942779541,0,0
1988,Mauritania,MRT,161.1733856201172,0.35082894563674927,-0.18843451142311096,0,0,1864,7.504391670227051,0,0,0,0.3354172706604004,0,-7,-0.02595800720155239,-0.03575681895017624,0.9309999942779541,0,0
1989,Mauritania,MRT,183.44219970703125,0.13816681504249573,0.35082894563674927,0,0,1915,7.530479907989502,0,0,0,0.3354172706604004,0,-7,0.025380762293934822,-0.02595800720155239,0.9309999942779541,0,0
1990,Mauritania,MRT,99.899627685546875,-0.45541632175445557,0.13816681504249573,0,0,1969,7.5574727058410645,0,0,0,0.3354172706604004,0,-7,-0.021039627492427826,0.025380762293934822,0.9309999942779541,0,0
1991,Mauritania,MRT,104.2518081665039,0.043565534055233,-0.45541632175445557,0,0,2025,7.585280895233154,0,0,0,0.3354172706604004,0,-7,0.013906419277191162,-0.021039627492427826,0.9309999942779541,0,0
1992,Mauritania,MRT,96.10932922363281,-0.07810395956039429,0.043565534055233,0,0,2079,7.613325119018555,0,0,0,0.3354172706604004,0,-6,0.04364093020558357,0.013906419277191162,0.9309999942779541,0,0
1993,Mauritania,MRT,136.93788146972656,0.4248136281967163,-0.07810395956039429,0,0,2202.68994140625,7.639642238616943,0,0,0,0.3354172706604004,0,-6,0.02584192529320717,0.04364093020558357,0.9309999942779541,0,0
1994,Mauritania,MRT,189.50294494628906,0.38386064767837524,0.4248136281967163,0,0,2264.9599609375,7.697434425354004,0,0,0,0.3354172706604004,0,-6,0.016870472580194473,0.02584192529320717,0.9309999942779541,0,0
1995,Mauritania,MRT,177.104736328125,-0.06542488932609558,0.38386064767837524,0,0,2329,7.725312232971191,0,0,0,0.3354172706604004,0,-6,0.0178671907633543,0.016870472580194473,0.9309999942779541,0,0
1996,Mauritania,MRT,125.895263671875,-0.2891479432582855,-0.06542488932609558,0,0,2394.35009765625,7.753194332122803,0,0,0,0.3354172706604004,0,-6,0.026182061061263084,0.0178671907633543,0.9309999942779541,0,0
1997,Mauritania,MRT,124.88331604003906,-0.008038012310862541,-0.2891479432582855,0,0,2461.010009765625,7.780867099761963,0,0,0,0.3354172706604004,0,-6,0.003998870495706797,0.026182061061263084,0.9309999942779541,0,0
1998,Mauritania,MRT,136.11880493164062,0.08996789157390594,-0.008038012310862541,0,0,2529.010009765625,7.8083271980285645,0,0,0,0.3354172706604004,0,-6,0.008603695780038834,0.003998870495706797,0.9309999942779541,0,0
1999,Mauritania,MRT,180.50465393066406,0.32608169317245483,0.08996789157390594,0,0,NA,7.835583209991455,0,0,0,0.3354172706604004,0,-6,0.012998327612876892,0.008603695780038834,0.9309999942779541,0,0
